Identifier,Type,Contract number,Registration Doc,Identifier for schedule,Make and Model,Agreement Start Date,Agreement term (months),Agreement end date,Net Capital,VAT on Acquisition,RFL,Capital Cost,Arrangement Fee,Finance Interest,Initial Payment,Monthly Installment,Final Payment,Total Repayment,Check
HSBC 15,Motor Vehicle,300400,MT17 SUH ,MT17 SUH ,Renault Trafic SL27 Business Van,28 September 2021,36.0,28 September 2024,1512.0,302.4,,79690.83,50.0,2752.91,16602.26,1828.93,0.0,82443.74,0.0
HSBC 2,Equipment,300400,-,Equipment,Hydro Power Unit 19D Water Lane,28 September 2021,36.0,28 September 2024,18712.68,3742.53,,79690.83,50.0,2752.91,16602.26,1828.93,0.0,0.0,-18712.68
HSBC 2,Motor Vehicle,300400,ML68 LPV,ML68 LPV,Renault Trafic LL29 Sport Nav Van,28 September 2021,36.0,28 September 2024,6825.0,1365.0,,79690.83,50.0,2752.91,16602.26,1828.93,0.0,0.0,-6825.0
HSBC 2,Equipment,300400,-,Equipment,Hydro Power Unit 19D Water Lane,28 September 2021,36.0,28 September 2024,19112.68,3822.53,,79690.83,50.0,2752.91,16602.26,1828.93,0.0,0.0,-19112.68
HSBC 2,Equipment,300400,-,Equipment,Hydro Power Unit 19D Water Lane,28 September 2021,36.0,28 September 2024,19112.68,3822.54,,79690.83,50.0,2752.91,16602.26,1828.93,0.0,0.0,-19112.68
HSBC 2,Motor Vehicle,300400,MT17 SJX,MT17 SJX,Renault Trafic SL27 Business Van,28 September 2021,36.0,28 September 2024,1134.0,226.8,,79690.83,50.0,2752.91,16602.26,1828.93,0.0,0.0,-1134.0
HSBC 22,Motor Vehicle,297162,YC21 OCL,YC21 OCL,Renault Energy 120 DCI Van,10 May 2021,48.0,28 September 2024,22375.0,4475.0,330.0,108720.0,50.0,4429.48,22441.0,1889.76,0.0,113149.48,0.0
HSBC 22,Motor Vehicle,297162,YC21 OCG,YC21 OCG,Renault Energy Dci 120 Van,10 May 2021,48.0,28 September 2024,22375.0,4475.0,330.0,108720.0,50.0,4429.48,22441.0,1889.76,0.0,0.0,-330.0
HSBC 22,Motor Vehicle,297162,YE21 AGZ,YE21 AGZ,Renaukt Energy Dei 120 Van,10 May 2021,48.0,28 September 2024,22375.0,4475.0,330.0,108720.0,50.0,4429.48,22441.0,1889.76,0.0,0.0,-330.0
HSBC 22,Motor Vehicle,297162,YC21 OHO,YC21 OHO,Renault Energy Dei 120 Van,10 May 2021,48.0,28 September 2024,22375.0,4475.0,330.0,108720.0,50.0,4429.48,22441.0,1889.76,0.0,0.0,-330.0
